cultivar ,treatment ,plant_id,mV_day8,gwc_day8,SPAD_day8,mV_day15,gwc_day15,SPAD_day15,mV_day21,gwc_day21,SPAD_day21,mV_day28,gwc_day28,SPAD_day28,root_mass,shoot_mass,ratio,primary_tillers,secondary_tillers,total_tillers ,MS_height,dev_stage ,MS_nodes,stems_with_nodes ,stems_w_1,stems_w_2,stems_w_3,stems_w_4,stems_w_5,stems_w_6
bere,water,a,249,64.5853,43.5,450,105.127,50.7,130,40.583,45.5,83,31.1031,47.4,na,10.61,na,na,na,na ,na,na,na,na,na,na,na,na,na,na
bere,drought,b,120,38.566,51.3,174,49.4578,48.1,76,29.6912,51.5,56,25.6572,47.8,2.46,5.71,0.430823117,8,13,21,32,34,4,8,4,2,1,1,0,0
laureate,water,c,162,47.0374,53.5,216,57.9292,48.4,124,39.3728,55.3,76,29.6912,53.4,3.57,11.28,0.316489362,14,16,30,22,33,3,10,5,3,2,0,0,0
laureate,drought,d,178,50.2646,48.3,108,36.1456,50.5,67,27.8759,54.2,56,25.6572,53.3,1.88,7.12,0.264044944,11,8,19,21,33,3,8,4,2,2,0,0,0
bere,water,e,178,50.2646,49.2,350,84.957,50.3,282,71.2414,50.4,110,36.549,47.7,2.25,9.49,0.237091675,9,14,23,30,33,3,10,4,2,4,0,0,0
laureate,water,f,158,46.2306,47.6,154,45.4238,46.4,244,63.5768,53.5,91,32.7167,51.3,2.41,8.64,0.278935185,18,13,31,20,33,3,7,3,3,1,0,0,0
bere,drought,g,114,37.3558,50.7,274,69.6278,48.4,280,70.838,50.3,82,30.9014,51.5,1.54,5.35,0.287850467,7,8,15,36,33,3,6,3,2,1,0,0,0
laureate,drought,h,104,35.3388,47.5,165,47.6425,53.1,82,30.9014,53.2,64,27.2708,55.9,2.33,6.62,0.351963746,10,8,18,28,34,4,4,0,2,1,1,0,0
bere,water,i,101,34.7337,46.9,448,104.7236,54,429,100.8913,50.7,107,35.9439,50.3,3.22,8.73,0.36884307,8,10,18,40,35,5,10,1,4,2,2,1,0
laureate,water,j,190,52.685,50,382,91.4114,49.8,320,78.906,52.8,69,28.2793,53.7,2.54,10.62,0.239171375,11,10,21,30,34,4,5,0,4,0,1,0,0
laureate,drought,k,99,34.3303,49,116,37.7592,51.2,104,35.3388,54,88,32.1116,52.2,1.1,6.35,0.173228346,8,6,14,13,33,3,6,1,4,1,0,0,0
bere,drought,l,106,35.7422,42.6,146,43.8102,42.2,110,36.549,45.7,80,30.498,44.2,3.62,6.58,0.550151976,10,7,17,19,33,3,6,3,2,1,0,0,0
bere,water,m,222,59.1394,45.1,272,69.2244,41.6,199,54.5003,47,82,30.9014,47.4,3.07,8.76,0.350456621,13,14,27,30,34,4,9,4,3,1,1,0,0
laureate,water,n,168,48.2476,52.2,454,105.9338,64.9,422,99.4794,56,112,36.9524,51.3,2.35,9.26,0.253779698,12,13,25,25,33,3,7,2,3,2,0,0,0
bere,drought,o,126,39.7762,56.4,164,47.4408,42.8,108,36.1456,46.9,70,28.481,49.6,1.45,6.46,0.224458204,11,10,21,28,33,3,10,4,2,4,0,0,0
laureate,drought,p,88,32.1116,50.4,140,42.6,51.8,106,35.7422,52.9,90,32.515,52.6,1.71,6.06,0.282178218,8,7,15,25,33,3,7,3,3,1,0,0,0
bere,water,q,207,56.1139,47.8,432,101.4964,49.9,412,97.4624,49.8,76,29.6912,54.7,3.55,12.6,0.281746032,7,13,20,62,36,6,10,0,2,3,3,1,1
laureate,water,r,218,58.3326,47.1,452,105.5304,50.4,263,67.4091,52.5,78,30.0946,54.8,4.23,11.67,0.362467866,19,10,29,21,33,3,8,4,3,1,0,0,0
bere,drought,s,94,33.3218,48.3,155,45.6255,52.1,86,31.7082,52.4,66,27.6742,54.7,1.84,7.19,0.255910987,9,8,17,22,33,3,6,1,3,2,0,0,0
laureate,drought,t,68,28.0776,53.9,97,33.9269,51.5,100,34.532,55.3,84,31.3048,56.3,1.19,6.3,0.188888889,9,9,18,26,34,4,7,3,3,0,1,0,0
laureate,water,u,195,53.6935,43.4,400,95.042,53.6,220,58.736,52.8,81,30.6997,52.2,3.43,10.63,0.322671684,14,11,25,24,33,3,8,3,3,2,0,0,0
bere,water,v,253,65.3921,44,508,116.8256,45.6,196,53.8952,45.7,95,33.5235,48.6,3.65,10.19,0.358194308,13,10,23,35,33,3,8,4,3,1,0,0,0
laureate,drought,w,106,35.7422,44.7,144,43.4068,50.5,92,32.9184,53.3,62,26.8674,52.8,2.42,6.72,0.360119048,10,6,16,26,33,3,7,2,4,1,0,0,0
bere,drought,x,82,30.9014,46.4,160,46.634,44.4,164,47.4408,48.7,86,31.7082,50.5,3.04,6.18,0.491909385,5,9,14,36,34,4,5,2,2,0,1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,cultivar ,total tillers ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,23,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,31,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,14,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,27,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,15,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,29,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,17,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,23,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,laureate,16,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,bere,14,,,,,,,,,,
